DATE_DAY,CAMP_SITE,TALKSCORE_CEFR,TALKSCORE_VOCAB,TALKSCORE_FLUENCY,TALKSCORE_GRAMMAR,TALKSCORE_COMPREHENSION,TALKSCORE_PRONUNCIATION,TALKSCORE_OVERALL,TEST_COMPLETED,TEST_UNCOMPLETED,FOR_TS_REVIEW,NEW_SOURCE
2025-03-17,Iqor Fairview,,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,Engagehr Employee Referral
2025-03-17,Iqor Bacolod,,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,Lead-Ad Instagram
2025-03-16,Unknown,,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,
2025-03-17,Unknown,,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,
2025-03-16,Unknown,,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,
2025-03-16,Iqor Bacolod,B1,6.60,5.40,7.80,0.00,5.10,6.20,1,0,0,Lead-Ad Facebook
2025-03-17,Iqor Fairview,,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,Messenger
2025-03-17,Unknown,,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,
2025-03-17,Iqor Fairview,B2,7.70,7.50,7.90,0.00,8.10,7.80,1,0,0,Landing Page
2025-03-17,Iqor Bacolod,,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,Lead-Ad Facebook
2025-03-17,Unknown,,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,
2025-03-17,Iqor Davao,B1+,6.80,7.00,7.50,0.00,7.90,7.30,1,0,0,Walkin
2025-03-17,Iqor Fairview,B2,7.50,7.90,7.90,0.00,8.10,7.90,1,0,0,Landing Page
2025-03-16,Iqor Bacolod,,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,Engagehr Employee Referral
2025-03-17,Iqor Bacolod,,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,Lead-Ad Facebook
2025-03-17,Iqor Bacolod,,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,Lead-Ad Instagram
2025-03-17,Unknown,,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,
2025-03-17,Iqor Fairview,,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,Engagehr Employee Referral
2025-03-17,Iqor Fairview,B1+,6.00,6.60,7.70,0.00,7.80,7.00,1,0,0,Walkin
2025-03-17,Iqor Davao,,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,Lead-Ad Facebook
2025-03-17,Iqor Fairview,B2,7.20,7.60,7.70,0.00,8.10,7.70,1,0,0,Walkin
2025-03-17,Unknown,,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,
2025-03-17,Iqor Bacolod,,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,Lead-Ad Facebook
2025-03-17,Iqor Davao,,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,Lead-Ad Facebook
2025-03-17,Iqor Fairview,,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,Engagehr Employee Referral
2025-03-16,Iqor Davao,,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,Lead-Ad Facebook
2025-03-17,Unknown,,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,
2025-03-16,Iqor Fairview,,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,Engagehr Employee Referral
2025-03-17,Iqor Fairview,B2,7.10,8.30,7.30,0.00,8.80,7.90,1,0,0,Landing Page
2025-03-17,Iqor Bacolod,B2,6.50,6.90,8.30,0.00,8.10,7.50,1,0,0,Walkin
2025-03-17,Iqor Fairview,B2,8.20,7.70,7.80,0.00,7.30,7.80,1,0,0,Engagehr Employee Referral
2025-03-17,Iqor Fairview,B2,7.30,8.80,7.80,0.00,9.00,8.20,1,0,0,Walkin
2025-03-17,Unknown,,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,
2025-03-16,Iqor Davao,,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,Lead-Ad Facebook
2025-03-17,Iqor Bacolod,,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,Lead-Ad Facebook
2025-03-16,Iqor Davao,,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,Lead-Ad Facebook
2025-03-17,Iqor Bacolod,B1,6.00,6.30,6.50,0.00,7.00,6.50,1,0,0,Messenger
2025-03-17,Iqor Davao,,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,Messenger
2025-03-17,Iqor Davao,,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,Engagehr Employee Referral
2025-03-17,Iqor Davao,,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,Lead-Ad Facebook
2025-03-17,Unknown,,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,
2025-03-17,Unknown,,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,
2025-03-17,Iqor Davao,,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,Lead-Ad Facebook
2025-03-17,Unknown,,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,
2025-03-17,Iqor Bacolod,,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,Lead-Ad Facebook
2025-03-17,Iqor Davao,,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,Lead-Ad Facebook
2025-03-17,Iqor Fairview,B1,6.10,5.60,6.20,0.00,6.30,6.10,1,0,0,Engagehr Employee Referral
2025-03-16,Iqor Fairview,,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,Engagehr Employee Referral
2025-03-17,Iqor Fairview,B1+,5.70,7.40,7.90,0.00,8.30,7.30,1,0,0,Landing Page
2025-03-17,Iqor Bacolod,B1+,6.80,6.80,7.10,0.00,7.30,7.00,1,0,0,Walkin
2025-03-17,Iqor Davao,,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0,Lead-Ad Facebook
